x, y, z
2020-04-04 9:11:54,13998,268
2020-04-04 9:11:56,13998,266
2020-04-04 9:11:57,14002,286
2020-04-04 9:11:58,14000,348
2020-04-04 9:11:59,13999,347
2020-04-04 9:12:00,13999,350
2020-04-04 9:12:01,13997,346
2020-04-04 9:12:02,13998,342
2020-04-04 9:12:03,13997,338
2020-04-04 9:12:04,13997,344
2020-04-04 9:12:06,13997,338
2020-04-04 9:12:07,13994,340
2020-04-04 9:12:08,13994,344
2020-04-04 9:12:09,13993,341
2020-04-04 9:12:10,13994,349
2020-04-04 9:12:11,13992,364
2020-04-04 9:12:12,13989,395
2020-04-04 9:12:13,13994,400
2020-04-04 9:12:14,13995,402
2020-04-04 9:12:15,13995,400
2020-04-04 9:12:16,13996,408
2020-04-04 9:12:17,13996,405
2020-04-04 9:12:18,14000,407
2020-04-04 9:12:19,14000,409
2020-04-04 9:12:20,13999,407
2020-04-04 9:12:21,14000,409
2020-04-04 9:12:23,14000,403
2020-04-04 9:12:25,13999,398
2020-04-04 9:12:26,14000,395
2020-04-04 9:12:27,13999,391
2020-04-04 9:12:28,14000,393
2020-04-04 9:12:29,13996,390
2020-04-04 9:12:30,13998,396
2020-04-04 9:12:32,13996,392
2020-04-04 9:12:35,13994,380
2020-04-04 9:12:36,13992,375
2020-04-04 9:12:37,13992,370
2020-04-04 9:12:38,13992,370
2020-04-04 9:12:41,13992,363
2020-04-04 9:12:42,13992,363
2020-04-04 9:12:43,13996,362
2020-04-04 9:12:44,13996,359
2020-04-04 9:12:45,13996,355
2020-04-04 9:12:46,13996,351
2020-04-04 9:12:48,13996,349
2020-04-04 9:12:51,13996,335
2020-04-04 9:12:53,13997,328
2020-04-04 9:12:54,13997,325
2020-04-04 9:12:56,13998,318
2020-04-04 9:12:58,13999,308
2020-04-04 9:12:59,13999,306
2020-04-04 9:13:00,14001,305
2020-04-04 9:13:02,14001,300
2020-04-04 9:13:03,14000,308
2020-04-04 9:13:04,14000,310
2020-04-04 9:13:05,14000,314
2020-04-04 9:13:06,14003,326
2020-04-04 9:13:07,14002,324
2020-04-04 9:13:08,14001,324
2020-04-04 9:13:09,14002,329
2020-04-04 9:13:10,14000,326
2020-04-04 9:13:11,13998,325
2020-04-04 9:13:13,13999,318
2020-04-04 9:13:14,13998,314
2020-04-04 9:13:16,13997,308
2020-04-04 9:13:17,14000,305
2020-04-04 9:13:19,13998,296
2020-04-04 9:13:21,14000,289
2020-04-04 9:13:22,14002,296
2020-04-04 9:13:24,14002,287
2020-04-04 9:13:25,14002,285
2020-04-04 9:13:26,14002,284
2020-04-04 9:13:27,14002,290
2020-04-04 9:13:28,14001,287
2020-04-04 9:13:29,14001,284
2020-04-04 9:13:31,14001,280
2020-04-04 9:13:34,14002,272
2020-04-04 9:13:36,14003,281
2020-04-04 9:13:37,14005,278
2020-04-04 9:13:38,14005,275
2020-04-04 9:13:40,14005,267
2020-04-04 9:13:41,14005,268
2020-04-04 9:13:42,14006,285
2020-04-04 9:13:43,14006,283
2020-04-04 9:13:44,14006,283
2020-04-04 9:13:47,14006,270
2020-04-04 9:13:48,14003,270
2020-04-04 9:13:49,14005,268
2020-04-04 9:13:50,14004,267
2020-04-04 9:13:51,14005,277
2020-04-04 9:13:52,14001,276
2020-04-04 9:13:54,14000,271
2020-04-04 9:13:56,13998,267
2020-04-04 9:13:57,13997,268
2020-04-04 9:13:58,13998,261
2020-04-04 9:13:59,13996,265
2020-04-04 9:14:00,13997,268
2020-04-04 9:14:01,13994,267
2020-04-04 9:14:02,13995,279
2020-04-04 9:14:03,13995,283
2020-04-04 9:14:04,13995,282
2020-04-04 9:14:05,13995,280
2020-04-04 9:14:06,13998,293
2020-04-04 9:14:07,13997,294
2020-04-04 9:14:08,13998,290
2020-04-04 9:14:09,13998,287
2020-04-04 9:14:10,13998,283
2020-04-04 9:14:11,13998,293
2020-04-04 9:14:13,13998,286
2020-04-04 9:14:14,13999,282
2020-04-04 9:14:16,13998,275
2020-04-04 9:14:17,13999,273
2020-04-04 9:14:18,13997,279
2020-04-04 9:14:19,13994,275
2020-04-04 9:14:20,13994,282
2020-04-04 9:14:21,13993,280
2020-04-04 9:14:22,13992,285
2020-04-04 9:14:23,13992,287
2020-04-04 9:14:24,13994,284
2020-04-04 9:14:26,13994,279
2020-04-04 9:14:27,13996,286
2020-04-04 9:14:28,13996,285
2020-04-04 9:14:29,13996,285
2020-04-04 9:14:30,13997,284
2020-04-04 9:14:31,13997,282
2020-04-04 9:14:32,13997,297
2020-04-04 9:14:33,13995,298
2020-04-04 9:14:36,13996,289
2020-04-04 9:14:37,13995,286
2020-04-04 9:14:39,13995,282
2020-04-04 9:14:41,13995,280
2020-04-04 9:14:43,13996,274
2020-04-04 9:14:44,13995,272
2020-04-04 9:14:45,13996,271
2020-04-04 9:14:46,13995,276
2020-04-04 9:14:47,13994,275
2020-04-04 9:14:49,13993,280
2020-04-04 9:14:50,13993,279
2020-04-04 9:14:51,13993,280
2020-04-04 9:14:53,13994,279
2020-04-04 9:14:54,13993,280
2020-04-04 9:14:58,13994,265
2020-04-04 9:14:59,13995,261
2020-04-04 9:15:00,13995,260
2020-04-04 9:15:01,13993,261
2020-04-04 9:15:02,13993,266
2020-04-04 9:15:03,13993,265
2020-04-04 9:15:04,13992,264
2020-04-04 9:15:05,13991,269
2020-04-04 9:15:07,13992,267
2020-04-04 9:15:08,13993,266
2020-04-04 9:15:09,13994,265
2020-04-04 9:15:11,13995,272
2020-04-04 9:15:12,13995,278
2020-04-04 9:15:13,13998,279
2020-04-04 9:15:15,13999,272
2020-04-04 9:15:16,14002,277
2020-04-04 9:15:17,14003,278
2020-04-04 9:15:18,14004,280
2020-04-04 9:15:19,14002,276
2020-04-04 9:15:20,14002,278
2020-04-04 9:15:21,14001,276
2020-04-04 9:15:22,14004,275
2020-04-04 9:15:23,14005,275
2020-04-04 9:15:24,14005,276
2020-04-04 9:15:25,14005,279
2020-04-04 9:15:26,14008,303
2020-04-04 9:15:27,14007,302
2020-04-04 9:15:28,14007,300
2020-04-04 9:15:29,14007,296
2020-04-04 9:15:31,14007,299
2020-04-04 9:15:32,14007,297
2020-04-04 9:15:33,14008,303
2020-04-04 9:15:34,14008,302
2020-04-04 9:15:35,14010,326
2020-04-04 9:15:36,14008,347
2020-04-04 9:15:37,14010,350
2020-04-04 9:15:38,14012,371
2020-04-04 9:15:39,14009,372
2020-04-04 9:15:40,14010,371
2020-04-04 9:15:41,14010,369
2020-04-04 9:15:42,14009,365
2020-04-04 9:15:43,14007,371
2020-04-04 9:15:44,14006,378
2020-04-04 9:15:45,14005,380
2020-04-04 9:15:47,14004,416
2020-04-04 9:15:48,14002,426
2020-04-04 9:15:49,14004,421
2020-04-04 9:15:52,14004,405
2020-04-04 9:15:53,14004,404
2020-04-04 9:15:56,14004,389
2020-04-04 9:15:58,14004,381
2020-04-04 9:16:01,14003,372
2020-04-04 9:16:02,14003,387
2020-04-04 9:16:03,14003,383
2020-04-04 9:16:04,14001,387
2020-04-04 9:16:05,14001,384
2020-04-04 9:16:06,14002,381
2020-04-04 9:16:07,14005,379
2020-04-04 9:16:09,14006,374
2020-04-04 9:16:10,14004,381
2020-04-04 9:16:11,14003,376
2020-04-04 9:16:12,14003,375
2020-04-04 9:16:13,14003,370
2020-04-04 9:16:14,14004,371
2020-04-04 9:16:16,14005,365
2020-04-04 9:16:17,14005,362
2020-04-04 9:16:18,14005,360
2020-04-04 9:16:22,14005,341
2020-04-04 9:16:23,14005,337
2020-04-04 9:16:24,14005,334
2020-04-04 9:16:25,14006,330
2020-04-04 9:16:28,14006,316
2020-04-04 9:16:29,14006,312
2020-04-04 9:16:30,14004,308
2020-04-04 9:16:31,14005,316
2020-04-04 9:16:32,14002,314
2020-04-04 9:16:33,14002,310
2020-04-04 9:16:37,14001,301
2020-04-04 9:16:40,14001,291
2020-04-04 9:16:41,14000,287
2020-04-04 9:16:42,14000,285
2020-04-04 9:16:44,13999,277
2020-04-04 9:16:45,13999,276
2020-04-04 9:16:47,13999,267
2020-04-04 9:16:48,13999,264
2020-04-04 9:16:49,13999,260
2020-04-04 9:16:50,14001,262
2020-04-04 9:16:52,14002,253
2020-04-04 9:16:53,14001,250
2020-04-04 9:16:55,14001,245
2020-04-04 9:16:56,14002,243
2020-04-04 9:16:57,14003,242
2020-04-04 9:16:58,14003,243
2020-04-04 9:16:59,14002,245
2020-04-04 9:17:00,14001,246
2020-04-04 9:17:01,14000,242
2020-04-04 9:17:02,14001,246
2020-04-04 9:17:03,13999,245
2020-04-04 9:17:04,13999,244
2020-04-04 9:17:06,14001,239
2020-04-04 9:17:07,14001,250
2020-04-04 9:17:08,14003,248
2020-04-04 9:17:09,14003,251
2020-04-04 9:17:10,14002,253
2020-04-04 9:17:11,14002,248
2020-04-04 9:17:12,14000,263
2020-04-04 9:17:14,14001,256
2020-04-04 9:17:15,14001,254
2020-04-04 9:17:16,14002,272
2020-04-04 9:17:17,13999,276
2020-04-04 9:17:18,13997,272
2020-04-04 9:17:19,13999,284
2020-04-04 9:17:20,13999,280
2020-04-04 9:17:21,13998,276
2020-04-04 9:17:22,13998,335
2020-04-04 9:17:25,13997,323
2020-04-04 9:17:27,13996,313
2020-04-04 9:17:29,13994,308
2020-04-04 9:17:30,13992,310
2020-04-04 9:17:31,13992,311
